Name,Year Premired,Number of Seasons,Number of Episodes,Network,Genre,Male Lead,Female Lead
Timeless,2016,2,28,NBC,Science Fiction,Matt Lanter,Abigal Spencer
Travelers,2016,3,34,Netflix,Science Fiction,Eric McCormak,MacKenzie Porter
Zoo,2015,3,39,CBS,Science Fiction,James Wolk,Kristen Connolly
Agent Carter,2015,2,18,ABC,Drama,James D'Arcy,Hayley Atwell
A-Team,1983,5,98,NBC,Drama,George Peppard,Melinda Culea
Ally McBeal,1997,5,112,Fox,Comedy,Greg Germann,Calista Flockhart
B.J. and the Bear,1978,3,46,NBC,Drama,Greg Evigan,Jant Julian
Blossom,1990,5,114,NBC,Comedy,Joey Lawrence,Mayim Bialik
Big Bang Theory,2007,12,279,CBS,Comedy,Johnny Galecki,Kaley Cuoco
Charmed,1998,8,178,WB,Fantasy,Brian Krause,Alyssa Milano
Covert Affairs,2010,5,75,USA,Drama,Christopher Goram,Piper Perabo
Walker Texas Ranger,1993,9,205,CBS,Western,Chuck Norris,Nia Peeples
In Plain Sight,2008,5,61,USA,Crime Drama,Fred Weller,Mary McCormack
Star Trek,1966,3,79,NBC,Science Fiction,Willliam Shatner,Nichelle Nichols
Vampire Diaries,2009,8,171,CW,Fantasy,Paul Wesley,Nina Dobrev
White Collar,2009,6,81,USA,Drama,Matt Bomer,Tiffani Thiessen
King & Maxwell,2013,1,10,TNT,Crime Drama,Jon Tenney,Rebecca Romijn
Lincoln Rhyme,2020,1,10,NBC,Crime Drama,Russell Hornsby,Arielle Kebbel
Grimm,2011,6,123,NBC,Fantasy,David Giuntoli,Elizabeth Tulloch
Necessary Roughness,2011,3,38,USA,Drama,Marc Blucas,Callie Thorne
